fbID,page,code,nb,media
152329631480944,Thầy Thích Pháp Hòa,truclam.monastery,527,
126733839326,Warner Music Philippines,warnermusicph,525,
1657985954420888,Sheikh Azhar Nasser,shaykhazhar,524,
533881123627543,Inspire Your Beautiful Soul,inspireyourbeautifulsoul,524,
217819548646512,GoodGood Gadgets,goodgoodgadgets,523,
494413927609858,FortniteMeme - Fortnite Battle Royale Memes,TheFortniteMeme,523,
548126585331941,Pokémon Planet Scizor,planetscizor,523,
373231273020939,GoodGood Gifts - Unique Gift Ideas,goodgoodgifts,522,
225434610949167,Rumble,rumblevideo,519,
509387469078521,Nasha Canada - Наша Канада,nashacanada,518,
154645851854808,Horror Forever,officialhorrorforever,516,
1563230160440766,Take A Part Now,takeapartnow,515,
341207211843,cutepolish,cutepolish,512,
574515219329877,Marvel vs. DC,TheMarvelvsDc,512,
816297408482105,TheThings,TheThingscom,505,
8606723411,The Doors,thedoors,503,
6478112671,Slipknot,slipknot,500,
1519572204931812,Nerds of the Force,NerdsoftheForce,498,
704671503012270,"Je suis le Chemin, La Vérité ET La VIE",lecheminlaverite,497,
173978095968714,NHL Trade Rumors,NHLTradeRumors,497,
109230219570006,Kim's Diary,kimsdiaryofficial,496,
9053564156,Michael Bublé,MichaelBuble,495,
1592186201039639,Ben&Ben,BenAndBenMusic,493,
163185517061777,ET Canada,ETCanada,492,media
190558433385,Ray William Johnson,raywilliamjohnson,492,
514004832094966,Banglar Rannaghor,banglarrannaghor,490,
206535392710459,La voix des animaux,La.voix.des.animaux.org,489,
640926212727213,Life with Shih Tzus,shihtzuwire,488,
439038279465271,Geeky Memes,GeekEmpire,485,
140961138903,The Globe and Mail,theglobeandmail,481,media
689851851055118,James Maslow,JamesMaslow,481,
353590264719701,Boston Terrier World,bterrierdogs,478,
472290693303616,AB6IX,AB6IX,478,
123239261045809,Huevocartoon,huevocartoon,476,
388655174641163,Free Quran Education,FreeQuranEducation,470,
133763657238385,Les Vols d'Alexi,lesvolsdalexi,469,
9525286907,The Weather Network,theweathernetworkCAN,465,media
184277211606988,Unvirtuous Abbey,UnvirtuousAbbey,463,
154016318123550,GeekQc,GeekQc,461,
766288260144777,Smiley,smileytheblindtherapydog,461,
75167405651,The Pun Guys,thepunguys,460,
1436687719887927,Jordanian Mercedes Club,Group63Jordan,459,
161423984000318,Extra Fabulous Comics,ExtraFabulousComics,457,
500246926847105,Spotted Moment bizarre,spotmombiz,456,
101052049938609,Roger Waters,rogerwaters,455,
563718687054153,The Oreo Cat,TheOreoCat,454,
133158107173,CBC Newfoundland and Labrador,cbcnl,453,media
216302488420163,Happy Hooligans,happyhooligansblog,453,
273797535979854,Shaykh Nurjan Mirahmadi,shaykhnurjanmirahmadi,452,
263386800691169,The Cheap Offroader,TheCheapOffroader,451,
473970865963628,Hockey Night in Canada,HockeyNightInCanada,451,
196517133737809,Alok,livealok,450,
455458134966491,Team Scheer,teamscheer,449,
400223946701308,François Legault,FrancoisLegaultPremierMinistre,443,
1141031645908618,Hira Singh Fateh,hskhadoor,440,
110894110566889,𝚂𝚎𝚎𝚗.,officialseenacechavez,437,
1489631371359348,Indi Jaswal,indijaswaloye,436,
321991501507432,يا مزيون شنو هذا,yamazyon,436,
402435663519237,Mike Shinoda,mikeshinoda,435,
29313088338,This Hour Has 22 Minutes,22Minutes,433,
1082032898524375,Fruiter,memesfruiter,432,
2398698610368958,Barney the West Coast Cockatoo,westcoastbarney,429,
464975223572738,Tag quelqu'un qui,TagQqn,426,
472467106284201,Medical Cannabis,medicalcannaRx,424,
533986213282911,Daily Health Post,DailyHealthPost,423,
1226522417440534,Justin Trudno,JustinTrudeauNope,422,
183275355056175,noliberals.ca,NoLibs2018and2019,422,
291140993113,Vancouver Is Awesome,VancouverIsAwesome,421,
1985609444853123,Horror Vibes,HorrorVibesPage,419,
815201125482985,Jinnah’s Pakistan,pakistanjinnahs,419,
52225529415,Truck Stop Quebec,truckstopquebec,412,
719440028118823,Simi Chahal,simichahal009,411,
305028356223618,Wingolos Gaming,wingolosgaming,409,
2251133884960821,Home Cooked Recipes,homecookedrecipes,405,
230032140518619,Streets Of Toronto,StreetsOfToronto,405,
359695217388409,Psychic Medium Michelle Russell,PsychicMichelleRussell,404,
63958787144,Vancouver Canucks,Canucks,404,
1069345336498426,The Quiz,thequizcom,403,
347244702113457,Hockey Feed,hockeyfeed,403,
148029568572790,Chandigarh : The City Beautiful,chandigarhthecitybeautiful,402,
1184212021699569,Just Go Vacation,justgovacationnow,401,
1533269823599736,Sex-i Candys & GENTlemen Asylum,sexicandyxxx,401,
1588670804776365,Gun Rights Matter,GunRightsMatter,401,
5845317146,Miley Cyrus,MileyCyrus,401,
151115982244514,داد از جدايى,Dad.Az.Jodai,400,
636279863159648,FordNation,FordNationDougFord,399,
1207780339339178,Manualidades Creativas,soymanualidadescreativas,397,
154295944995014,Lucky Lou and Coco Too,luckyloucocotoo,397,
118055624894900,My Chennai,mycitychennai,396,
198669200507559,Meme Mang,mememangIG,396,
471106609657340,Yup That Exists,yupthatexists,394,
189526659635,Toronto Sun,torontosun,393,media
183635938695983,Canadian Police Association,CanadianPoliceAssociation,393,
300503316798606,Assigned Male Comics,assignedmale,392,
1410163429237841,Bescherelle ta mère,bescherelletamere,391,
139973899373506,CBC Vancouver,CBCVancouver,390,media
110877132302973,Canadiens de Montréal,canadiensmtl,389,
20415872588,Shinedown,Shinedown,388,
395116880560218,ActiveBeat,ActiveBeatcom,385,
106131822011,Mushfiqur Rahim,MushfiqurOfficial,384,
329823447630642,A Good Muslim,AGoodMuslimPage,382,
136450789739469,Adam Ellis,booksofadam,381,
527290763949443,Anonymous du Québec,AnonymousDuQuebec,380,
106497192771356,Positive Vibes,lovepositivevibes,380,
2241858899418868,Júpiter∆,iJupiterx,380,
184906186150,The Toronto Star,torontostar,379,media
217834668331935,Rickyisms,Rickyisms,378,
